# NTC's Super Mini English Dictionary — 1000+ Word Expansion
# Format: word | definition

clever | quick to understand, learn, and devise or apply ideas
click | to make a short, sharp sound
client | a person or organization using the services of a professional person or company
climate | the weather conditions prevailing in an area
climb | to go or come up a slope, incline, or staircase
clock | a mechanical or electrical device for measuring time
close | a short distance away or apart in space or time
cloth | woven or felted fabric made from wool, cotton, or similar fiber
clothes | items worn to cover the body
cloud | a visible mass of condensed watery vapor floating in the atmosphere
club | an association dedicated to a particular interest or activity
coach | a large motor vehicle for carrying passengers
coal | a combustible black or dark gray rock
coast | the part of the land near the sea; the seashore
coat | an outer garment worn outdoors
code | a system of words, letters, or symbols used to represent others
coffee | a hot drink made from the roasted and ground seeds of a tropical shrub
coin | a flat, typically round piece of metal with an official stamp
cold | of or at a low or relatively low temperature
collapse | to suddenly fall down or give way
collar | a band of material around the neck of a shirt or other garment
colleague | a person with whom one works in a profession or business
collect | to bring or gather together things
college | an educational institution or establishment
color | the property possessed by an object of producing different sensations
column | an upright pillar, typically cylindrical and supporting an arch or entablature
combination | a joining or merging of different parts
combine | to unite or merge things into a single unit
come | to move or travel toward or into a place
comfort | a state of physical ease and freedom from pain or constraint
command | to give an authoritative order
comment | a verbal or written remark expressing an opinion or reaction
commercial | concerned with or engaged in commerce
commission | an instruction, command, or duty given to a person or group
commit | to carry out or perpetrate a mistake, crime, or immoral act
committee | a group of people appointed for a specific function
common | occurring, found, or done often; prevalent
communicate | to share or exchange information or ideas
communication | the imparting or exchanging of information or news
community | a group of people living in the same place or having a particular characteristic in common
company | a commercial business
compare | to estimate, measure, or note the similarity or dissimilarity between
compete | to strive to gain or win something by defeating others
competition | the activity or condition of competing
complain | to express dissatisfaction or annoyance about something
complete | having all the necessary or appropriate parts
complex | consisting of many different and connected parts
computer | an electronic device for storing and processing data
concentrate | to focus one's attention or mental effort on a particular object or activity
concept | an abstract idea; a general notion
concern | to relate to; be about
concert | a musical performance given in public
condition | the state of something with regard to its appearance, quality, or working order
conduct | to organize and carry out
conference | a formal meeting for discussion
confidence | the feeling or belief that one can rely on someone or something
confirm | to establish the truth or correctness of something previously believed
conflict | a serious disagreement or argument
confuse | to cause someone to become bewildered or perplexed
connect | to bring together or into contact so that a real link is established
connection | a relationship in which a person or thing is linked with something else
conscious | aware of and responding to one's surroundings
consider | to think carefully about something before making a decision
considerable | notably large in size, amount, or extent
consist | to be composed or made up of
constant | occurring continuously over a period of time
construct | to build or erect something
construction | the building of something, typically a large structure
consume | to eat, drink, or ingest something
contact | the state of physical touching
contain | to have something inside or as part of a whole
container | an object that can be used to hold or transport something
contemporary | living or occurring at the same time
content | the things that are held or included in something
contest | an event in which people compete for supremacy
context | the circumstances that form the setting for an event or statement
continue | to persist in an activity or process
contract | a written or spoken agreement
contrast | the state of being strikingly different from something else
contribute | to give something in order to help achieve or provide something
control | to determine the behavior or supervise the running of
convenient | fitting in well with a person's needs or plans
conversation | a talk, especially an informal one, between two or more people
cook | to prepare food by heating it
cool | of or at a fairly low temperature
copper | a red-brown metal, the chemical element of atomic number 29
copy | a thing made to be similar or identical to another
corn | a North American cereal plant that yields large grains
corner | a place or angle where two or more sides or edges meet
correct | free from error; in accordance with fact or truth
cost | an amount that has to be paid or spent to buy or obtain something
cottage | a small house, typically in the country
cotton | a soft white fibrous substance that surrounds the seeds of a tropical plant
cough | to expel air from the lungs with a sudden sharp sound
could | used as past tense of can
council | an advisory, deliberative, or administrative body
count | to determine the total number of a collection of items
country | a nation with its own government
couple | two individuals of the same sort considered together
courage | the ability to do something that frightens one
course | the route or direction followed by a ship, aircraft, or road
court | a tribunal presided over by a judge
cousin | a child of one's uncle or aunt
cover | to place something over or in front of something in order to protect it
cow | a fully grown female animal of a domesticated breed of ox
crack | a line on the surface of something along which it has split
craft | an activity involving skill in making things by hand
crash | to collide violently with an obstacle or another vehicle
crazy | mentally deranged, especially as manifested in a wild or aggressive way
cream | the thick white or pale yellow fatty liquid that rises to the top of milk
create | to bring something into existence
creature | an animal, as distinct from a human being
credit | the ability of a customer to obtain goods or services before payment
crew | a group of people who work on and operate a ship or aircraft
crime | an action or omission that constitutes an offense
criminal | relating to crime
crisis | a time of intense difficulty, trouble, or danger
critic | a person who expresses an unfavorable opinion of something
critical | expressing adverse or disapproving comments or judgments
criticism | the expression of disapproval of someone or something based on perceived faults
crop | a cultivated plant that is grown on a large scale
cross | to go across from one side to the other
crowd | a large number of people gathered together
crowded | filled with more people than there is room for
cruel | willfully causing pain or suffering to others
crush | to compress or squeeze forcefully so as to break or distort
cry | to shed tears as an expression of distress or pain
culture | the arts and other manifestations of human intellectual achievement
cup | a small bowl-shaped container for drinking from
cupboard | a recess or piece of furniture with doors and usually shelves
cure | to relieve a person or animal of the symptoms of a disease or condition
curiosity | a strong desire to know or learn something
curious | eager to know or learn something
current | belonging to the present time
curtain | a piece of material suspended at the top to form a screen
curve | a line or outline that gradually deviates from being straight
cushion | a bag of cloth stuffed with a mass of soft material
custom | a traditional and widely accepted way of behaving
customer | a person or organization that buys goods or services from a store
cut | to make an opening or incision with a sharp-edged tool
cycle | a series of events that are regularly repeated in the same order
damage | physical harm caused to something
dance | to move rhythmically to music
danger | the possibility of suffering harm or injury
dark | with little or no light
data | facts and statistics collected together for reference or analysis
date | the day of the month or year as specified by a number
daughter | a girl or woman in relation to her parents
dawn | the first appearance of light in the morning
day | each of the twenty-four-hour periods into which a week is divided
dead | no longer alive
deal | to distribute cards in a game
death | the action or fact of dying or being killed
debt | something, typically money, that is owed or due
decade | a period of ten years
decay | to rot or decompose through the action of bacteria and fungi
december | the twelfth month of the year
decide | to come to a resolution in the mind as a result of consideration
decision | a conclusion or resolution reached after consideration
declare | to announce something clearly, firmly, and officially
decorate | to make something look more attractive by adding extra items
decrease | to make or become less; to diminish
deep | extending far down from the top or surface
defeat | to win victory over someone in a battle or contest
defend | to resist an attack made on someone or something
defense | the action of defending from or resisting attack
define | to state or describe the exact nature or scope of
definite | clearly stated or decided; not vague or doubtful
definition | a statement of the exact meaning of a word
degree | the amount, level, or extent to which something happens or is present
delay | to make someone or something late or slow
delegate | a person sent or authorized to represent others
deliver | to bring and hand over a letter, parcel, or ordered goods
demand | an insistent and peremptory request
demonstrate | to give a practical exhibition and explanation of
deny | to state that one refuses to admit the truth or existence of
depart | to leave, especially in order to start a journey
department | a division of a large organization dealing with a specific area
depend | to rely on someone or something for support
deposit | a sum of money placed or kept in a bank account
depress | to make someone feel utterly dispirited or dejected
depth | the distance from the top or surface to the bottom of something
derive | to obtain something from a specified source
describe | to give an account in words of someone or something
description | a spoken or written representation or account of a person or object
desert | a waterless, desolate area of land with little vegetation
design | a plan or drawing produced to show the look and function of something
desire | a strong feeling of wanting to have something or wishing for something
desk | a piece of furniture with a flat top and legs
despair | the complete loss or absence of hope
destroy | to put an end to the existence of something by damaging it
detail | an individual feature, fact, or item
detect | to discover or identify the presence or existence of
determine | to ascertain or establish exactly by research or calculation
develop | to grow or cause to grow and become more mature or advanced
development | the process of developing or being developed
device | a thing made or adapted for a particular purpose
devil | the supreme spirit of evil
devote | to dedicate time or effort to a particular task or purpose
dictionary | a book or electronic resource that lists the words of a language
die | to stop living
diet | the kinds of food that a person, animal, or community habitually eats
differ | to be unlike or dissimilar
difference | a point or way in which people or things are not the same
different | not the same as another or each other; unlike in nature or form
difficult | needing much effort or skill to accomplish or understand
difficulty | a thing that is hard to accomplish or comprehend
dig | to break up and move earth with a tool or machine
dinner | the main meal of the day, taken either around midday or in the evening
direct | extending or moving from one place to another by the shortest way
direction | the course or path on which something is moving or pointing
director | a person who is in charge of an activity, department, or organization
dirt | any substance that makes something unclean
disappoint | to fail to fulfill the hopes or expectations of someone
discover | to find something unexpectedly or in the course of a search
discovery | the action or process of discovering or being discovered
discuss | to talk about something with another person or group
discussion | the action or process of talking about something
disease | a disorder of structure or function in a human, animal, or plant
dish | a shallow, typically flat-bottomed container for cooking or serving food
dismiss | to order or allow to leave; send away
display | to put something in a prominent place for it to be seen
distance | the length of the space between two points
distant | far away in space or time
distinct | recognizably different in nature from something else
distinguish | to recognize or treat someone or something as different
distribute | to give out shares of something; deal out
district | an area of a country or city
disturb | to interfere with the normal arrangement or functioning of
divide | to separate or be separated into parts
division | the action of separating something into parts
do | to perform an action, task, or function
doctor | a qualified practitioner of medicine; a physician
document | a piece of written, printed, or electronic matter that provides information
dog | a domesticated carnivorous mammal
dollar | the basic monetary unit of the US, Canada, Australia, and other countries
door | a hinged, sliding, or revolving barrier at the entrance to a building
dot | a small round mark or point
double | consisting of two equal, identical, or similar parts or things
doubt | a feeling of uncertainty or lack of conviction
down | toward or in a lower place or position
dozen | a group or set of twelve
draft | a preliminary version of a piece of writing
drag | to pull someone or something along forcefully or with difficulty
drain | to empty or dry by removing liquid
drama | a play for theater, radio, or television
draw | to produce a picture with a pen or pencil
drawer | a boxlike storage compartment without a lid
dream | a series of thoughts, images, and sensations occurring in a person's mind
dress | a one-piece garment for a woman or girl that covers the body
drink | to take liquid into the mouth and swallow
drive | to operate and control the direction and speed of a motor vehicle
driver | a person who drives a vehicle
drop | to let or make something fall vertically
drown | to die through submersion in and inhalation of liquid
drug | a medicine or other substance which has a physiological effect
drum | a percussion instrument sounded by being struck
dry | free from moisture or liquid; not wet or moist
duck | a waterbird with a broad blunt bill
due | expected at or planned for at a certain time
dull | lacking interest or excitement
during | throughout the course or duration of
dust | fine, dry powder consisting of tiny particles of earth or waste matter
duty | a moral or legal obligation; a responsibility
each | used to refer to every one of two or more people or things
eager | strongly wanting to do or have something
ear | the organ of hearing and balance in humans and other vertebrates
early | happening or done before the usual or expected time
earn | to obtain money in return for labor or services
earth | the planet on which we live; the world
ease | absence of difficulty or effort
east | the direction toward the point of the horizon where the sun rises
eastern | situated in or directed toward the east
easy | achieved without great effort; presenting few difficulties
eat | to put food into the mouth and chew and swallow it
economic | relating to economics or the economy
economy | the wealth and resources of a country or region
edge | the outside limit of an object, area, or surface
edit | to prepare written material for publication by correcting or modifying it
edition | a particular form or version of a published text
editor | a person who is in charge of the content of a publication
educate | to give intellectual, moral, and social instruction to someone
education | the process of receiving or giving systematic instruction
educator | a person who provides instruction or education
effect | a change which is a result or consequence of an action or cause
effective | successful in producing a desired or intended result
efficient | achieving maximum productivity with minimum wasted effort
effort | a vigorous or determined attempt
egg | an oval or round object laid by a female bird, reptile, or fish
eight | equivalent to the product of two and four
either | used before the first of two alternatives
elder | a person of greater age than someone specified
elect | to choose someone to hold public office or some other position
election | a formal and organized choice by vote of a person for a political office
electric | of, worked by, charged with, or producing electricity
electricity | a form of energy resulting from the existence of charged particles
electronic | of or relating to electronics or devices using many small components
element | a part or aspect of something abstract, especially one that is essential
elephant | a very large plant-eating mammal with a prehensile trunk
eliminate | to completely remove or get rid of something
else | in addition; different
elsewhere | in or to another or different place
email | messages distributed by electronic means from one computer user to another
embarrass | to cause someone to feel awkward or ashamed
emerge | to move out of or away from something and come into view
emergency | a serious, unexpected, and often dangerous situation requiring immediate action
emotion | a natural instinctive state of mind deriving from one's circumstances
emotional | relating to a person's emotions
employ | to give work to someone and pay them for it
employee | a person employed for wages or salary
employer | a person or organization that employs people
employment | the condition of having paid work
empty | containing nothing; not filled or occupied
enable | to give someone or something the authority or means to do something
encounter | to unexpectedly experience or be faced with something
encourage | to give support, confidence, or hope to someone
end | a final part of something, especially a period of time or activity
enemy | a person who is actively opposed or hostile to someone or something
energy | the strength and vitality required for sustained physical or mental activity
engage | to occupy, attract, or involve someone's interest or attention
engine | a machine with moving parts that converts power into motion
engineer | a person who designs, builds, or maintains engines or machines
engineering | the branch of science and technology concerned with the design of engines
enjoy | to take delight or pleasure in an activity or occasion
enormous | very large in size, quantity, or extent
enough | as much or as many as required
ensure | to make certain that something will occur
enter | to come or go into a place
enterprise | a project or undertaking, typically one that is difficult
entertain | to provide someone with amusement or enjoyment
entertainment | the action of providing or being provided with amusement
enthusiasm | intense and eager enjoyment, interest, or approval
entire | with no part left out; whole
entrance | an opening, such as a door, passage, or gate, that allows access
entry | an act of entering or gaining access to a place
environment | the surroundings or conditions in which a person lives or operates
environmental | relating to the natural world and the impact of human activity on it
equal | being the same in quantity, size, degree, or value
equipment | the necessary items for a particular purpose
era | a long and distinct period of history with a particular feature
error | a mistake
escape | to break free from confinement or control
especially | used to single out one person or thing over all others
essential | absolutely necessary; extremely important
establish | to set up on a firm or permanent basis
estate | an area of land with a large house belonging to one person or family
estimate | to roughly calculate or judge the value, number, or extent of
even | used to emphasize something surprising or extreme
evening | the period of time at the end of the day, usually from about 6 p.m.
event | a thing that happens, especially one of importance
ever | at any time
every | used to refer to all the individual members of a set without exception
everybody | everyone
everyday | happening or used every day; daily
everyone | every person; everybody
everything | all things; all of something
everywhere | in or to all places
exact | not approximated in any way; precise
examine | to inspect someone or something in detail to determine their nature
example | a thing characteristic of its kind or illustrating a general rule
excellent | extremely good; outstanding
except | not including; other than
exception | a person or thing that is excluded from a general statement
exchange | an act of giving one thing and receiving another
excite | to cause someone to feel very enthusiastic and eager
excitement | a feeling of great enthusiasm and eagerness
exciting | causing great enthusiasm and eagerness
exclude | to deny someone access to a place, group, or privilege
excuse | to seek to lessen the blame attaching to a fault or offense
execute | to carry out or put into effect a plan, order, or course of action
exercise | activity requiring physical effort, carried out to sustain or improve health
exhibit | to publicly display a work of art or item of interest
exhibition | a public display of works of art or items of interest
exist | to have objective reality or being
existence | the fact or state of living or having objective reality
expand | to become or make larger or more extensive
expansion | the action of increasing in size, number, or importance
expect | to regard something as likely to happen; anticipate
expense | the cost incurred in or required for something
expensive | costing a lot of money
experience | practical contact with and observation of facts or events
experiment | a scientific test to discover or demonstrate something
expert | a person who has a comprehensive and authoritative knowledge of a subject
explain | to make an idea or situation clear to someone by describing it in detail
explanation | a statement or account that makes something clear
explode | to burst or shatter violently and noisily as a result of rapid combustion
explore | to travel in or through an unfamiliar country or area in order to learn about it
explosion | a violent shattering or blowing apart of something
export | to send goods or services to another country for sale
expose | to make something visible by uncovering it
express | to convey a thought or feeling in words or by gestures and conduct
expression | the process of making known one's thoughts or feelings
extend | to cause to cover a larger area; make longer or wider
extension | a part that is added to something to enlarge or prolong it
extensive | covering a large area; having wide range or scope
extent | the area covered by something
external | belonging to or forming the outer surface or structure of something
extra | added to an existing or usual amount or number
extraordinary | very unusual or remarkable
extreme | reaching a high or the highest degree; very great
eye | each of a pair of globular organs in the head through which people see
face | the front part of a person's head from the forehead to the chin
facility | a place, amenity, or piece of equipment provided for a particular purpose
fact | a thing that is known or proved to be true
factor | a circumstance, fact, or influence that contributes to a result
factory | a building or group of buildings where goods are manufactured
fail | to be unsuccessful in achieving one's goal
failure | the lack of success
fair | treating people equally without favoritism or discrimination
faith | complete trust or confidence in someone or something
fall | to move downward, typically rapidly and freely without control
false | not according with truth or fact
familiar | well known from long or close association
family | a group consisting of parents and children living together in a household
famous | known about by many people
fan | an apparatus with rotating blades that creates a current of air
fancy | elaborate in structure or decoration
far | at, to, or by a great distance
farm | an area of land and its buildings used for growing crops and rearing animals
farmer | a person who owns or manages a farm
fashion | a popular trend, especially in styles of dress and ornament
fast | moving or capable of moving at high speed
fat | a natural oily substance occurring in animal bodies
father | a man in relation to his child or children
fault | an unattractive or unsatisfactory feature
favor | an act of kindness beyond what is due or usual
favorite | preferred before all others of the same kind
fear | an unpleasant emotion caused by the belief that someone is dangerous
feature | a distinctive attribute or aspect of something
february | the second month of the year
fee | a payment made to a professional person or to a professional body
feed | to give food to
feel | to be aware of a person or object through touching or being touched
feeling | an emotional state or reaction
fellow | a man or boy
female | of or denoting the sex that can bear offspring or produce eggs
fence | a barrier, railing, or other upright structure enclosing an area of land
festival | a day or period of celebration, typically a religious commemoration
fetch | to go for and then bring back someone or something
fever | an abnormally high body temperature
few | a small number of
field | an area of open land, especially one planted with crops or pasture
fifteen | equivalent to the product of three and five
fifth | constituting number five in a sequence
fifty | equivalent to the product of five and ten
fight | to take part in a violent struggle involving the exchange of physical blows
figure | a number, especially one that forms part of official statistics
file | a folder or box for holding loose papers together and in order
fill | to cause to become full
film | a motion picture; a movie
final | coming at the end of a series
